ArgoUML-0.26Beta-Unified 2,,,
ID,FileName,Package,DataClumps
4,src/org/argouml/gefext/ArgoModeCreateFigInk.java,app,1
5,src/org/argouml/gefext/ArgoModeCreateFigSpline.java,app,1
9,src/org/argouml/language/java/generator/JavaTokenTypes.java,app,1
10,src/org/argouml/moduleloader/ModuleLoader2.java,app,1
20,src/org/argouml/profile/init/ProfileLoader.java,app,1
32,src/org/argouml/ui/explorer/ExplorerPopup.java,app,1
33,src/org/argouml/uml/PredicateFind.java,app,1
34,src/org/argouml/uml/PredicateSearch.java,app,1
45,src/org/argouml/uml/diagram/activity/ui/FigPartition.java,app,1
59,src/org/argouml/uml/diagram/sequence/ui/FigMessagePort.java,app,1
60,src/org/argouml/uml/diagram/sequence/ui/ModeChangeHeight.java,app,1
61,src/org/argouml/uml/diagram/sequence/ui/ModeContract.java,app,1
62,src/org/argouml/uml/diagram/sequence/ui/ModeCreateMessage.java,app,1
63,src/org/argouml/uml/diagram/sequence/ui/ModeExpand.java,app,1
64,src/org/argouml/uml/diagram/sequence/ui/SelectionClassifierRole.java,app,1
65,src/org/argouml/uml/diagram/sequence/ui/SelectionMessage.java,app,1
67,src/org/argouml/uml/diagram/state/ui/FigCompositeState.java,app,1
68,src/org/argouml/uml/diagram/state/ui/FigConcurrentRegion.java,app,1
79,src/org/argouml/uml/diagram/static_structure/ui/FigClassifierBoxWithAttributes.java,app,1
81,src/org/argouml/uml/diagram/static_structure/ui/FigDataType.java,app,1
82,src/org/argouml/uml/diagram/static_structure/ui/FigFeature.java,app,1
83,src/org/argouml/uml/diagram/static_structure/ui/FigInterface.java,app,1
85,src/org/argouml/uml/diagram/static_structure/ui/FigStereotypeDeclaration.java,app,1
94,src/org/argouml/uml/diagram/ui/ActionNavigability.java,app,1
95,src/org/argouml/uml/diagram/ui/FigAttributesCompartment.java,app,1
96,src/org/argouml/uml/diagram/ui/FigCompartment.java,app,1
98,src/org/argouml/uml/diagram/ui/FigEditableCompartment.java,app,1
99,src/org/argouml/uml/diagram/ui/FigEnumLiteralsCompartment.java,app,1
102,src/org/argouml/uml/diagram/ui/FigOperationsCompartment.java,app,1
103,src/org/argouml/uml/diagram/ui/SelectionNodeClarifiers2.java,app,1
104,src/org/argouml/uml/diagram/ui/TabDiagram.java,app,1
105,src/org/argouml/uml/diagram/use_case/ui/FigUseCase.java,app,1
113,src/org/argouml/uml/reveng/java/JavaTokenTypes.java,app,1
